,ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
1,IDwJ3P5Pb,18/01/17 09:50,7537710.0,699095,12211,87903766,a,Mozilla Firefox,Mobile,0
2,IDweXr48M,14/01/17 09:06,3544355.0,889613,93286,94930037,a,Mozilla Firefox,Mobile,0
3,IDh40gyYz,20/01/17 17:41,599405.0,54640,40339,37135965,a,Mozilla Firefox,Desktop,0
4,IDX6L6d5D,14/01/17 13:47,9027546.0,664192,54125,91553313,b,Edge,Tablet,0
5,IDAzfRUuG,12/01/17 16:33,5669672.0,361956,17714,29916445,b,Mozilla Firefox,Mobile,0
6,IDPkEricY,11/01/17 16:10,-1.0,132548,42227,95013373,b,Mozilla Firefox,Mobile,0
7,IDKkGPL9s,12/01/17 10:41,2901601.0,319613,2053,2050923,b,Mozilla Firefox,Mobile,0
8,IDsTZxF2f,19/01/17 14:45,2553896.0,710307,40339,43452411,a,Mozilla Firefox,Mobile,0
9,ID5ZmGeb0,11/01/17 18:15,8772346.0,328284,21407,80645978,e,Internet Explorer,Tablet,0
10,IDQNObS8D,12/01/17 16:03,9800939.0,680467,40339,54526992,b,Edge,Tablet,0
11,IDflFbqUk,12/01/17 11:26,4298134.0,477177,23576,1434817,a,Edge,Tablet,0
12,IDz5shSWK,11/01/17 08:19,5845898.0,340182,21407,1143033,e,Edge,Tablet,0
13,ID3SayQw8,20/01/17 13:55,-1.0,178764,54125,26120440,a,Mozilla Firefox,Desktop,0
14,IDbb8tAwH,15/01/17 09:33,5400026.0,976122,11837,89663643,e,Mozilla Firefox,Mobile,0
15,IDUb5IGfK,12/01/17 10:47,5766985.0,545559,42227,50706198,b,Google Chrome,Mobile,0
16,IDi7kIJOt,15/01/17 15:47,3167118.0,769852,9764,13742268,f,Mozilla Firefox,Mobile,0
17,IDSA9Yt3w,11/01/17 12:06,4944653.0,291683,74802,56008048,f,Internet Explorer,Mobile,0
18,IDiYD6lrz,17/01/17 16:09,6083475.0,905642,15912,43770446,b,Edge,Tablet,0
19,ID7kOlG9N,11/01/17 15:11,6650509.0,991876,42227,49384126,b,Mozilla Firefox,Mobile,0
20,IDcty7qPs,17/01/17 17:07,177251.0,639029,40050,2835657,a,Internet Explorer,Desktop,0
21,IDk5wsF30,11/01/17 11:55,1950274.0,995254,6906,99510044,b,Mozilla Firefox,Desktop,0
22,IDWxYnMGe,13/01/17 06:44,9723836.0,660600,26162,56464503,b,Mozilla Firefox,Mobile,0
23,IDWsPI8oL,10/01/17 17:45,4813674.0,651902,10345,33683592,a,Edge,Tablet,0
24,IDhMWgVn1,16/01/17 12:48,8771581.0,557409,40339,7122654,a,Mozilla Firefox,Mobile,0
25,IDnaFaKLh,16/01/17 11:01,238506.0,806511,48498,7864011,a,Internet Explorer,Mobile,0
26,IDLLB3NOu,17/01/17 11:35,6951266.0,153193,45620,54630329,b,Internet Explorer,Tablet,0
27,IDCcAj37y,14/01/17 12:59,9753496.0,752875,15912,7864011,a,Edge,Tablet,0
28,IDyjD5NGl,16/01/17 09:09,1856476.0,214449,17118,555603,b,Mozilla Firefox,Mobile,0
29,IDe0EdT5c,12/01/17 17:33,7845829.0,846344,5602,30432082,b,Internet Explorer,Tablet,0
30,ID20MxAtY,20/01/17 11:53,4813496.0,740513,9764,37135965,a,Internet Explorer,Desktop,0
31,ID8xqrNPq,17/01/17 17:50,1614867.0,672301,45620,31388981,a,Mozilla Firefox,Mobile,0
32,IDkQIyfB8,15/01/17 15:05,3138763.0,468021,48498,51545768,c,Mozilla Firefox,Mobile,0
33,IDhqdCbIh,17/01/17 08:49,7480467.0,649950,79456,26391770,b,Mozilla Firefox,Mobile,0
34,IDnuNXKYp,17/01/17 07:33,3291446.0,103249,40339,43452411,a,Mozilla Firefox,Desktop,0
35,IDfpdzDvS,12/01/17 16:53,9708292.0,291200,64452,92640312,b,Mozilla Firefox,Mobile,0
36,IDkmqWlwe,12/01/17 08:10,2207868.0,597011,11837,7864011,a,Mozilla Firefox,Mobile,0
37,IDO9Trsyu,17/01/17 10:02,8481319.0,856276,34670,1569330,b,Edge,Tablet,0
38,IDNGvnn0M,18/01/17 15:52,623838.0,547634,33287,91808273,a,Edge,Tablet,0
39,IDH7qvJVb,12/01/17 13:52,7639385.0,589473,92704,91553313,d,Internet Explorer,Desktop,1
40,IDTzF4YWo,11/01/17 19:38,9998547.0,403881,79668,81758577,b,Edge,Tablet,0
41,IDWmMqVoM,14/01/17 11:21,8538828.0,947021,97863,87807327,b,Edge,Tablet,0
42,IDtZ7KCYT,11/01/17 16:28,6994912.0,359771,17714,74363610,f,Internet Explorer,Tablet,0
43,IDE0y68PI,13/01/17 11:12,3118202.0,17071,97863,3156697,f,Edge,Tablet,0
44,IDIPAo7Qo,13/01/17 15:06,6511551.0,113069,17714,74363610,e,Mozilla Firefox,Desktop,0
45,IDPsmwcmX,18/01/17 16:12,298710.0,145978,40339,13742268,b,Google Chrome,Desktop,0
46,ID3Uiys4s,19/01/17 09:17,-1.0,892571,42227,13742268,b,Mozilla Firefox,Mobile,0
47,IDQ7BdN31,14/01/17 11:13,3293504.0,748746,26867,20301556,b,Mozilla Firefox,Desktop,0
48,IDxLWkCvu,12/01/17 10:37,1215612.0,256827,40339,37135965,a,Edge,Tablet,0
49,IDS6iwKvN,19/01/17 09:28,4370788.0,432269,30580,67147700,b,Mozilla Firefox,Desktop,0
50,ID3P7Yakj,10/01/17 12:15,7024840.0,19576,3037,55358028,b,Mozilla Firefox,Mobile,0
51,IDM8FmFPQ,19/01/17 16:50,6768773.0,785831,40339,7864011,d,Mozilla Firefox,Desktop,0
52,IDckGeWn1,16/01/17 17:41,8553419.0,136785,5393,2835657,f,Edge,Tablet,0
53,IDWO2FnzP,11/01/17 19:09,132504.0,580384,84974,17488931,e,Edge,Tablet,0
54,IDuMJmkqq,16/01/17 15:35,4095709.0,31893,835,26551485,d,Mozilla Firefox,Mobile,0
55,IDFIiB2zw,15/01/17 15:17,809608.0,722179,40339,49384126,b,Edge,Tablet,0
56,ID0zIn2Uc,18/01/17 16:55,6747754.0,861481,82396,17990842,a,Edge,Tablet,0
57,IDaJwzuQp,14/01/17 11:07,542878.0,253634,46450,47079934,b,Mozilla Firefox,Desktop,0
58,IDWr0tAOz,20/01/17 11:15,3594574.0,431724,33949,72749645,a,Edge,Tablet,0
59,IDsqSssXI,16/01/17 12:27,2761700.0,409619,80554,77896159,b,Mozilla Firefox,Mobile,0
60,IDmIfeXuY,13/01/17 08:28,790013.0,686130,17714,74363610,a,Mozilla Firefox,Mobile,0
61,IDaNgAuUi,19/01/17 11:56,6776258.0,440830,56027,54630329,a,Mozilla Firefox,Mobile,0
62,IDU5v3Km1,17/01/17 13:57,1637229.0,492810,40339,71040875,e,Edge,Tablet,0
63,ID4mREboa,18/01/17 16:40,9536533.0,994229,42227,49384126,a,Mozilla Firefox,Mobile,0
64,IDfdsoKfa,20/01/17 08:40,7930294.0,985880,43897,78683718,b,Internet Explorer,Desktop,0
65,ID2ar22Kl,15/01/17 21:12,7872586.0,686054,904,26391770,e,Mozilla Firefox,Mobile,0
66,IDXkpMbjp,17/01/17 10:23,689866.0,548704,44388,29916445,b,Mozilla Firefox,Mobile,0
67,IDHNTktIV,18/01/17 09:11,4046571.0,843918,10327,74868704,b,Internet Explorer,Desktop,0
68,ID2TnMD84,15/01/17 23:10,8297917.0,953968,17714,61682792,b,Mozilla Firefox,Desktop,0
69,IDrn93O53,16/01/17 14:53,8988291.0,498318,14960,52437512,a,Internet Explorer,Mobile,0
70,IDg4hYc84,18/01/17 16:58,2488024.0,502670,7169,26391770,b,Mozilla Firefox,Desktop,0
71,IDS8DayuY,18/01/17 17:30,824014.0,432274,70409,15961717,f,Mozilla Firefox,Mobile,0
72,IDD0ck6cE,20/01/17 13:29,5218734.0,683474,34670,87807327,b,Mozilla Firefox,Mobile,0
73,IDab0EUfw,11/01/17 19:27,1807051.0,89496,73248,61940782,a,Google Chrome,Mobile,0
74,IDjUyUV4w,16/01/17 14:58,4898728.0,888010,95113,65017662,a,Mozilla Firefox,Mobile,0
75,IDT3G5qV8,20/01/17 12:01,5727650.0,850759,42227,96823930,a,Mozilla Firefox,Desktop,0
76,IDK5rQbm0,14/01/17 11:12,-1.0,572252,84987,7181598,c,Mozilla Firefox,Desktop,0
77,IDTB9xv4h,16/01/17 05:42,1627558.0,981649,17714,26391770,b,Edge,Tablet,0
78,IDrtbYf8H,11/01/17 18:18,4093306.0,387792,97863,36994522,e,Mozilla Firefox,Mobile,0
79,IDnA5xFGM,16/01/17 13:08,3752409.0,567091,84987,15961717,b,Opera,Mobile,0
80,IDE77xba2,14/01/17 14:03,3933807.0,839426,10345,26461535,b,Mozilla Firefox,Mobile,0
81,IDhQWrLb4,12/01/17 09:49,7415351.0,736569,92704,7864011,b,Internet Explorer,Tablet,0
82,IDzbMsJb7,15/01/17 14:36,887675.0,824677,95113,65017662,e,Mozilla Firefox,Mobile,0
83,IDpZAcel2,17/01/17 14:42,4004907.0,139711,40339,5675575,e,Mozilla Firefox,Mobile,0
84,IDPH7oydD,14/01/17 02:54,1687763.0,735489,6906,99510044,e,Mozilla Firefox,Mobile,0
85,ID6nyNmZX,11/01/17 16:10,5835169.0,905876,40339,43452411,d,Edge,Tablet,0
86,IDbUgoHph,15/01/17 05:09,-1.0,418920,95113,92640312,a,Mozilla Firefox,Desktop,0
87,ID7kSdhW6,15/01/17 13:23,623838.0,963807,48498,93157824,b,Internet Explorer,Desktop,0
88,IDyCrmdNr,11/01/17 14:06,5941697.0,304065,82396,16150900,b,Edge,Tablet,0
89,ID4F3gTrm,11/01/17 16:39,9072241.0,532405,17714,74363610,d,Mozilla Firefox,Mobile,0
90,ID7NtFWRw,10/01/17 16:22,822880.0,574320,46450,54630329,b,Mozilla Firefox,Mobile,0
91,IDpO59jky,11/01/17 15:53,1891392.0,25463,73362,67274540,b,Mozilla Firefox,Desktop,0
92,IDONyozZR,14/01/17 13:08,4784842.0,72078,97863,56008048,a,Mozilla Firefox,Desktop,0
93,IDbDGsBlx,20/01/17 16:58,2733703.0,690255,96973,62201833,e,Mozilla Firefox,Mobile,0
94,IDpSI2hjf,11/01/17 22:46,59336.0,836901,46450,54630329,b,Internet Explorer,Desktop,1
95,IDVzTywSz,11/01/17 15:00,4695950.0,110095,835,26551485,b,Mozilla Firefox,Mobile,0
96,ID4pUqSEe,13/01/17 09:22,3801148.0,845837,904,94350426,a,Mozilla Firefox,Mobile,0
97,ID6kia2ge,17/01/17 14:41,2726856.0,137862,97863,96142930,f,Mozilla Firefox,Mobile,0
98,IDAXedUE7,17/01/17 09:39,8048904.0,262480,1678,52437512,a,Mozilla Firefox,Mobile,0
99,IDT6drbB6,12/01/17 10:22,-1.0,211363,95113,65017662,b,Mozilla Firefox,Mobile,0
100,IDUMgZ0Td,12/01/17 05:42,6430244.0,525956,33287,46997962,d,Google Chrome,Mobile,0
101,IDrC0T54a,14/01/17 16:12,3365849.0,366976,82877,67290861,b,Edge,Tablet,0
102,IDFeK5sht,15/01/17 03:21,4628584.0,513523,6906,99510044,b,Edge,Tablet,0
103,IDj5SCbo8,11/01/17 19:34,9721029.0,664665,81229,98166279,b,Edge,Tablet,0
104,IDZc1QIPS,16/01/17 11:45,5599334.0,1628,59164,26391770,a,Mozilla Firefox,Mobile,0
105,IDEzUGLOs,17/01/17 17:39,-1.0,169045,73248,61940782,a,Mozilla Firefox,Desktop,0
106,IDUQrEQXU,12/01/17 15:03,4905635.0,890496,42227,49384126,d,Edge,Tablet,0
107,IDjOtItzq,18/01/17 03:52,1950009.0,327791,33033,36994522,e,Google Chrome,Desktop,0
108,IDmmtXCJi,17/01/17 14:35,7930294.0,54549,42227,95013373,e,Mozilla Firefox,Desktop,0
109,ID8qwKYXz,14/01/17 15:17,3287072.0,687169,40339,37135965,a,Internet Explorer,Mobile,0
110,IDJm78OR7,20/01/17 16:03,1981010.0,801984,83091,83175152,d,Edge,Tablet,0
111,IDSJJuDP0,12/01/17 15:51,2807837.0,612787,904,74363610,b,Mozilla Firefox,Desktop,0
112,ID2k2yiTb,20/01/17 06:55,5306746.0,893846,42227,1189152,a,Edge,Tablet,0
