ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDwJ3P5Pb,18/01/17 09:50,7537710,699095,12211,87903766,a,Mozilla,,0
IDweXr48M,14/01/17 09:06,3544355,889613,93286,94930037,a,Firefox,Mobile,0
IDh40gyYz,20/01/17 17:41,599405,54640,40339,37135965,a,Mozilla,Desktop,0
IDX6L6d5D,14/01/17 13:47,9027546,664192,54125,91553313,b,Edge,Tablet,0
IDAzfRUuG,12/01/17 16:33,5669672,361956,17714,29916445,b,Firefox,Mobile,0
IDPkEricY,11/01/17 16:10,,132548,42227,95013373,b,Firefox,Mobile,0
IDKkGPL9s,12/01/17 10:41,2901601,319613,2053,2050923,b,Mozilla Firefox,,0
IDsTZxF2f,19/01/17 14:45,2553896,710307,40339,43452411,a,Firefox,,0
ID5ZmGeb0,11/01/17 18:15,8772346,328284,21407,80645978,e,Internet Explorer,Tablet,0
IDQNObS8D,12/01/17 16:03,9800939,680467,40339,54526992,b,Edge,,0
IDflFbqUk,12/01/17 11:26,4298134,477177,23576,1434817,a,Edge,Tablet,0
IDz5shSWK,11/01/17 08:19,5845898,340182,21407,1143033,e,Edge,,0
ID3SayQw8,20/01/17 13:55,,178764,54125,26120440,a,Mozilla,Desktop,0
IDbb8tAwH,15/01/17 09:33,5400026,976122,11837,89663643,e,Firefox,Mobile,0
IDUb5IGfK,12/01/17 10:47,5766985,545559,42227,50706198,b,Google Chrome,Mobile,0
IDi7kIJOt,15/01/17 15:47,3167118,769852,9764,13742268,f,Firefox,Mobile,0
IDSA9Yt3w,11/01/17 12:06,4944653,291683,74802,56008048,f,IE,Mobile,0
IDiYD6lrz,17/01/17 16:09,6083475,905642,15912,43770446,b,Edge,Tablet,0
ID7kOlG9N,11/01/17 15:11,6650509,991876,42227,49384126,b,,Mobile,0
IDcty7qPs,17/01/17 17:07,177251,639029,40050,2835657,a,InternetExplorer,Desktop,0
IDk5wsF30,11/01/17 11:55,1950274,995254,6906,99510044,b,Mozilla,Desktop,0
IDWxYnMGe,13/01/17 06:44,9723836,660600,26162,56464503,b,Firefox,,0
IDWsPI8oL,10/01/17 17:45,4813674,651902,10345,33683592,a,Edge,,0
IDhMWgVn1,16/01/17 12:48,8771581,557409,40339,7122654,a,,Mobile,0
IDnaFaKLh,16/01/17 11:01,238506,806511,48498,7864011,a,IE,Mobile,0
IDLLB3NOu,17/01/17 11:35,6951266,153193,45620,54630329,b,,,0
IDCcAj37y,14/01/17 12:59,9753496,752875,15912,7864011,a,,Tablet,0
IDyjD5NGl,16/01/17 09:09,1856476,214449,17118,555603,b,Firefox,Mobile,0
IDe0EdT5c,12/01/17 17:33,7845829,846344,5602,30432082,b,Internet Explorer,Tablet,0
ID20MxAtY,20/01/17 11:53,4813496,740513,9764,37135965,a,InternetExplorer,,0
ID8xqrNPq,17/01/17 17:50,1614867,672301,45620,31388981,a,Firefox,Mobile,0
IDkQIyfB8,15/01/17 15:05,3138763,468021,48498,51545768,c,Firefox,Mobile,0
IDhqdCbIh,17/01/17 08:49,7480467,649950,79456,26391770,b,Firefox,Mobile,0
IDnuNXKYp,17/01/17 07:33,3291446,103249,40339,43452411,a,Mozilla Firefox,Desktop,0
IDfpdzDvS,12/01/17 16:53,9708292,291200,64452,92640312,b,Firefox,Mobile,0
IDkmqWlwe,12/01/17 08:10,2207868,597011,11837,7864011,a,Firefox,Mobile,0
IDO9Trsyu,17/01/17 10:02,8481319,856276,34670,1569330,b,Edge,Tablet,0
IDNGvnn0M,18/01/17 15:52,623838,547634,33287,91808273,a,Edge,Tablet,0
IDH7qvJVb,12/01/17 13:52,7639385,589473,92704,91553313,d,InternetExplorer,Desktop,1
IDTzF4YWo,11/01/17 19:38,9998547,403881,79668,81758577,b,Edge,Tablet,0
IDWmMqVoM,14/01/17 11:21,8538828,947021,97863,87807327,b,Edge,Tablet,0
IDtZ7KCYT,11/01/17 16:28,6994912,359771,17714,74363610,f,Internet Explorer,Tablet,0
IDE0y68PI,13/01/17 11:12,3118202,17071,97863,3156697,f,Edge,Tablet,0
IDIPAo7Qo,13/01/17 15:06,6511551,113069,17714,74363610,e,Mozilla Firefox,Desktop,0
IDPsmwcmX,18/01/17 16:12,298710,145978,40339,13742268,b,Chrome,Desktop,0
ID3Uiys4s,19/01/17 09:17,,892571,42227,13742268,b,Firefox,Mobile,0
IDQ7BdN31,14/01/17 11:13,3293504,748746,26867,20301556,b,Mozilla Firefox,Desktop,0
IDxLWkCvu,12/01/17 10:37,1215612,256827,40339,37135965,a,Edge,Tablet,0
IDS6iwKvN,19/01/17 09:28,4370788,432269,30580,67147700,b,Firefox,,0
ID3P7Yakj,10/01/17 12:15,7024840,19576,3037,55358028,b,Firefox,,0
IDM8FmFPQ,19/01/17 16:50,6768773,785831,40339,7864011,d,Mozilla Firefox,Desktop,0
